Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
bed02Blue,blocks,Block,,,[4DFF00]Luxury Bed Blue®,,,,,,,,,,,,,,
bed02Purple,blocks,Block,,,[4DFF00]Luxury Bed Purple®,,,,,,,,,,,,,,
bed02Grey,blocks,Block,,,[4DFF00]Luxury Bed Grey®,,,,,,,,,,,,,,
bed02Pink,blocks,Block,,,[4DFF00]Luxury Bed Pink®,,,,,,,,,,,,,,
bedBunkMadeVariantHelper,blocks,Block,,,[4DFF00]Luxury Bunk Beds®,,,,,,,,,,,,,,
bedBunkMadeWhite,blocks,Block,,,[4DFF00]Luxury Bunk Bed White®,,,,,,,,,,,,,,
bedBunkMadeBrown,blocks,Block,,,[4DFF00]Luxury Bunk Bed Brown®,,,,,,,,,,,,,,
bedBunkMadeRed,blocks,Block,,,[4DFF00]Luxury Bunk Bed Red®,,,,,,,,,,,,,,
bedBunkMadeOrange,blocks,Block,,,[4DFF00]Luxury Bunk Bed Orange®,,,,,,,,,,,,,,
bedBunkMadeYellow,blocks,Block,,,[4DFF00]Luxury Bunk Bed Yellow®,,,,,,,,,,,,,,
bedBunkMadeGreen,blocks,Block,,,[4DFF00]Luxury Bunk Bed Green®,,,,,,,,,,,,,,
bedBunkMadeBlue,blocks,Block,,,[4DFF00]Luxury Bunk Bed Blue®,,,,,,,,,,,,,,
bedBunkMadePurple,blocks,Block,,,[4DFF00]Luxury Bunk Bed Purple®,,,,,,,,,,,,,,
bedBunkMadeGrey,blocks,Block,,,[4DFF00]Luxury Bunk Bed Grey®,,,,,,,,,,,,,,
bedBunkMadePink,blocks,Block,,,[4DFF00]Luxury Bunk Bed Pink®,,,,,,,,,,,,,,
starterLoadout,blocks,Block,,,[4DFF00]Starter Loadout for Players®,,,,,,,,,,,,,,
starterLoadoutDesc,blocks,block,,,Stupid game. Can't give players their starting stuff.,,,,,,,,,,,,,,
workingOvensDesc,blocks,Block,,,Tired of that noob campfire? Cook in style on this classic appliance. Works the same as a standard campfire.,,,,,,,,,,,,,,
workingOvens,blocks,Block,,,[4DFF00]Working Ovens®,,,,,,,,,,,,,,
workingGrill,blocks,Block,,,[4DFF00]Working Grill®,,,,,,,,,,,,,,
workingStove,blocks,Block,,,[4DFF00]Working Stove®,,,,,,,,,,,,,,
workingWallOven01,blocks,Block,,,[4DFF00]Working Oven®,,,,,,,,,,,,,,
workingWallOven02,blocks,Block,,,[4DFF00]Working Oven Offset®,,,,,,,,,,,,,,
workingRange01,blocks,Block,,,[4DFF00]Working Range®,,,,,,,,,,,,,,
workingRangtop,blocks,Block,,,[4DFF00]Working Rangtop®,,,,,,,,,,,,,,
industrialMixer,blocks,Block,,,[4DFF00]Industrial Mixer®,,,,,,,,,,,,,,
industrialMixerDesc,blocks,Block,,,Building the ULTIMATE structure? This can speed up the process. Results may vary.,,,,,,,,,,,,,,
workingCoffeeMaker,blocks,Block,,,[4DFF00]Working Coffee Maker®,,,,,,,,,,,,,,
workingCoffeeMakerCommercial,blocks,Block,,,[4DFF00]Working Commercial Coffee Maker®,,,,,,,,,,,,,,
workingSodaFountain,blocks,Block,,,[4DFF00]Working Soda Fountain®,,,,,,,,,,,,,,
workingBeverage,blocks,Block,,,[4DFF00]Working Beverage Stations®,,,,,,,,,,,,,,
workingBeverageDesc,blocks,Block,,,Make drinks with these handy beverage appliances.,,,,,,,,,,,,,,
chickenFeed,blocks,Block,,,[4DFF00]Chicken Feed®[-],,,,,,,,,,,,,,
tehFeedingBag,blocks,Block,,,[4DFF00]Feeding Bag®[-],,,,,,,,,,,,,,
tehChickenNest1Empty,blocks,Block,,,[4DFF00]Chicken Bedding®[-],,,,,,,,,,,,,,
tehChickenNest2Growing,blocks,Block,,,[4DFF00]Chicken Bedding Used®[-],,,,,,,,,,,,,,
tehChickenNest3Harvest,blocks,Block,,,[4DFF00]Chicken Nest®[-],,,,,,,,,,,,,,
chickenNestDesc,blocks,Block,,,"Place the [4DFF00]Chicken Bedding®[-] on the ground outside, and fill it with [4DFF00]Chicken Feed®[-] right-clicking with the [4DFF00]Feeding Bag®[-] then wait for a chicken to make a nest. If you're lucky, they will leave you some eggs before they run off.",,,,,,,,,,,,,,
tehReset,blocks,Block,,,[4DFF00]Push to Fix Pit[-],,,,,,,,,,,,,,
tehZombiesGrave,blocks,Block,,,[4DFF00]Don't touch.[-],,,,,,,,,,,,,,
workingPlanter,blocks,Block,,,[4DFF00]Working Planter®,,,,,,,,,,,,,,
workingPlanterDesc,blocks,Block,,,These planters can be used to grow crops or trees. Use with the [4DFF00]Landscaping[ffffff] block to add a little WOW to your base.,,,,,,,,,,,,,,
tehLandscapingTrees,blocks,Block,,,[4DFF00]Landscaping - Trees®,,,,,,,,,,,,,,
tehLandscapingFoliage,blocks,Block,,,[4DFF00]Landscaping - Foliage®,,,,,,,,,,,,,,
landscapingDesc,blocks,Block,,,Want to spruce up the 'ol bunker? These plants are genetically engineered NOT to grow! Works great with the [4DFF00]Working Planter®[ffffff].,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 * * * * VARIANT BLOCKS * * * * ,,,,,,,,,,,,,,,,,,,
woodSingleDoorsVariantHelper,blocks,block,,,[4DFF00]Wooden Single Doors®[-],,,,,,,,,,,,,,
woodSingleDoorsVariantHelperDesc,blocks,block,,,Be single in style! These handcrafted doors liven up any bachelor pad.,,,,,,,,,,,,,,
woodDoubleDoorsVariantHelper,blocks,block,,,[4DFF00]Wooden Double Doors®[-],,,,,,,,,,,,,,
woodDoubleDoorsVariantHelperDesc,blocks,block,,,Double the doors and double the fun! Upgrade your base with these grand doors.,,,,,,,,,,,,,,
metalSingleDoorsVariantHelper,blocks,block,,,[4DFF00]Metal Single Doors®[-],,,,,,,,,,,,,,
metalSingleDoorsVariantHelperDesc,blocks,block,,,Be single and secure! These solid doors will show your neighbors what a tough nut you are.,,,,,,,,,,,,,,
metalDoubleDoorsVariantHelper,blocks,block,,,[4DFF00]Metal Double Doors®[-],,,,,,,,,,,,,,
metalDoubleDoorsVariantHelperDesc,blocks,block,,,Double the doors and double the security! Upgrade your base with these no nonsense doors.,,,,,,,,,,,,,,
miscDoorsVariantHelper,blocks,block,,,[4DFF00]Misc. Doors®[-],,,,,,,,,,,,,,
miscDoorsVariantHelperDesc,blocks,block,,,These special doors will add an air of mystery to your build.,,,,,,,,,,,,,,
securityGateVariantHelper,blocks,block,,,[4DFF00]Security Gates®[-],,,,,,,,,,,,,,
securityGateVariantHelperDesc,blocks,block,,,The ultimate door to keep out unwanted guests. Or zombies.,,,,,,,,,,,,,,
modularRopeVariantHelper,blocks,block,,,[4DFF00]Rope®[-],,,,,,,,,,,,,,
modularRopeVariantHelperDesc,blocks,block,,,"Build a dope rope, not a nope rope!",,,,,,,,,,,,,,
flagPoleAmericanPlayer,blocks,block,,,[4DFF00]Murican Flagpole®[-],,,,,,,,,,,,,,
flagPoleAmericanPlayerDesc,blocks,block,,,These colors bleed FREEEEEEDOOOOOM.,,,,,,,,,,,,,,
flagPoleWhiteRiverPlayer,blocks,block,,,[4DFF00]Whiteriver Flagpole®[-],,,,,,,,,,,,,,
flagPoleWhiteRiverPlayerDesc,blocks,block,,,Look at this fancy flag. Feels almost patriotic.,,,,,,,,,,,,,,
flagPoleVariantHelper,blocks,block,,,[4DFF00]Flagpole®[-],,,,,,,,,,,,,,
flagPoleVariantHelperDesc,blocks,block,,,Run it up the flagpole and see who salutes.\n\nDestroy to pick up.,,,,,,,,,,,,,,
flagWallVariantHelper,blocks,block,,,[4DFF00]Wall Flag®[-],,,,,,,,,,,,,,
flagWallVariantHelperDesc,blocks,block,,,Suitable for hanging on the wall in your mom's basement.,,,,,,,,,,,,,,
moviePosterVariantHelper,blocks,block,,,[4DFF00]Framed Movie Posters®[-],,,,,,,,,,,,,,
moviePosterVariantHelperDesc,blocks,block,,,Hang the classics on wall for everyone to appreciate.,,,,,,,,,,,,,,
snackPosterVariantHelper,blocks,block,,,[4DFF00]Snack Posters®[-],,,,,,,,,,,,,,
snackPosterVariantHelperDesc,blocks,block,,,Finest wall art curated from your local Pass-N-Gas.,,,,,,,,,,,,,,
commercialSignVariantHelper,blocks,block,,,[4DFF00]Commercial Signs®[-],,,,,,,,,,,,,,
commercialSignVariantHelperDesc,blocks,block,,,OSHA compliant and HR approved.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tehBookPile01VariantHelper,blocks,Block,,,[4DFF00]Piles of Books®[-],,,,,,,,,,,,,,
tehBookPile01,blocks,Block,,,[4DFF00]A Stack of Books®[-],,,,,,,,,,,,,,
tehBookPile02,blocks,Block,,,[4DFF00]A Small Pile of Books®[-],,,,,,,,,,,,,,
tehBookPile03,blocks,Block,,,[4DFF00]A Small Pile of Books®[-],,,,,,,,,,,,,,
tehBookPile04,blocks,Block,,,[4DFF00]A Pile of Books®[-],,,,,,,,,,,,,,
tehBookPile05,blocks,Block,,,[4DFF00]Book: River of Ash®[-],,,,,,,,,,,,,,
tehBookPile06,blocks,Block,,,[4DFF00]Book: The Long Dry Road®[-],,,,,,,,,,,,,,
tehBookPile07,blocks,Block,,,[4DFF00]Book: Watercolor by Numbers®[-],,,,,,,,,,,,,,
tehBookPile08,blocks,Block,,,[4DFF00]Book: Scarlet Journals®[-],,,,,,,,,,,,,,
tehBookPile09,blocks,Block,,,[4DFF00]Book: Invisable Killer®[-],,,,,,,,,,,,,,
tehBookPile010,blocks,Block,,,[4DFF00]Book: Spear Hunter®[-],,,,,,,,,,,,,,
tehBookPile011,blocks,Block,,,[4DFF00]Book: The Aftermath®[-],,,,,,,,,,,,,,
tehBookPile012,blocks,Block,,,[4DFF00]Book: The Fireman's Almanac®[-],,,,,,,,,,,,,,
tehBookPile013,blocks,Block,,,[4DFF00]Book: Authorized Personnel Only®[-],,,,,,,,,,,,,,
tehBookPile014,blocks,Block,,,[4DFF00]Book: Time Matters®[-],,,,,,,,,,,,,,
tehBookPile015,blocks,Block,,,[4DFF00]Book: A Socialist Guide to Making Bombs®[-],,,,,,,,,,,,,,
tehBookPileDesc,blocks,Block,,,Impress your friends with how cultured you are. Great for hiding a few things.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tehPlayerLights,blocks,Block,,,[4DFF00]Working Lights®[-],,,,,,,,,,,,,,
tehPlayerLightsDesc,blocks,Block,,,There's more to life than unsightly lighting.,,,,,,,,,,,,,,
tehlightsPlus,blocks,Block,,,[4DFF00]Working Lights Plus®[-],,,,,,,,,,,,,,
tehlightsPlusDesc,blocks,Block,,,Light up the sky! Use care placing these delicate fixtures. They are fragile.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
lightPorchWhite_player,blocks,Block,,,[4DFF00]Porch Light White®[-],,,,,,,,,,,,,,
lightPorchBrown_player,blocks,Block,,,[4DFF00]Porch Light Brown®[-],,,,,,,,,,,,,,
lightPorchRed_player,blocks,Block,,,[4DFF00]Porch Light Red®[-],,,,,,,,,,,,,,
lightPorchOrange_player,blocks,Block,,,[4DFF00]Porch Light Orange®[-],,,,,,,,,,,,,,
lightPorchYellow_player,blocks,Block,,,[4DFF00]Porch Light Yellow®[-],,,,,,,,,,,,,,
lightPorchGreen_player,blocks,Block,,,[4DFF00]Porch Light Green®[-],,,,,,,,,,,,,,
lightPorchBlue_player,blocks,Block,,,[4DFF00]Porch Light Blue®[-],,,,,,,,,,,,,,
lightPorchPurple_player,blocks,Block,,,[4DFF00]Porch Light Purple®[-],,,,,,,,,,,,,,
lightPorchPink_player,blocks,Block,,,[4DFF00]Porch Light Pink®[-],,,,,,,,,,,,,,
lightPorchGrey_player,blocks,Block,,,[4DFF00]Porch Light Grey®[-],,,,,,,,,,,,,,
lightPorchBlack_player,blocks,Block,,,[4DFF00]Porch Light Black®[-],,,,,,,,,,,,,,
lightWallGooseneckWhite_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light White®[-],,,,,,,,,,,,,,
lightWallGooseneckBrown_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Brown®[-],,,,,,,,,,,,,,
lightWallGooseneckRed_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Red®[-],,,,,,,,,,,,,,
lightWallGooseneckOrange_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Orange®[-],,,,,,,,,,,,,,
lightWallGooseneckYellow_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Yellow®[-],,,,,,,,,,,,,,
lightWallGooseneckGreen_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Green®[-],,,,,,,,,,,,,,
lightWallGooseneckBlue_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Blue®[-],,,,,,,,,,,,,,
lightWallGooseneckPink_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Pink®[-],,,,,,,,,,,,,,
lightWallGooseneckGrey_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Grey®[-],,,,,,,,,,,,,,
lightWallGooseneckBlack_player,blocks,Block,,,[4DFF00]Gooseneck Wall Light Black®[-],,,,,,,,,,,,,,
lightIndustrialHangingWhite_player,blocks,Block,,,[4DFF00]Industrial Hanging Light White®[-],,,,,,,,,,,,,,
lightIndustrialHangingBrown_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Brown®[-],,,,,,,,,,,,,,
lightIndustrialHangingRed_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Red®[-],,,,,,,,,,,,,,
lightIndustrialHangingOrange_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Orange®[-],,,,,,,,,,,,,,
lightIndustrialHangingYellow_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Yellow®[-],,,,,,,,,,,,,,
lightIndustrialHangingGreen_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Green®[-],,,,,,,,,,,,,,
lightIndustrialHangingBlue_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Blue®[-],,,,,,,,,,,,,,
lightIndustrialHangingPurple_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Purple®[-],,,,,,,,,,,,,,
lightIndustrialHangingPink_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Pink®[-],,,,,,,,,,,,,,
lightIndustrialHangingGrey_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Grey®[-],,,,,,,,,,,,,,
lightIndustrialHangingBlack_player,blocks,Block,,,[4DFF00]Industrial Hanging Light Black®[-],,,,,,,,,,,,,,
lightPanelLEDWhite_player,blocks,Block,,,[4DFF00]LED Panel White®[-],,,,,,,,,,,,,,
lightPanelLEDBlack_player,blocks,Block,,,[4DFF00]LED Panel Black®[-],,,,,,,,,,,,,,
lightSconce_player,blocks,Block,,,[4DFF00]Sconce®[-],,,,,,,,,,,,,,
lightSconce_2x1_player,blocks,Block,,,[4DFF00]Sconce 2x1®[-],,,,,,,,,,,,,,
recessedLight_player,blocks,Block,,,[4DFF00]Recessed Light®[-],,,,,,,,,,,,,,
recessedLight_2x2_player,blocks,Block,,,[4DFF00]Recessed Light 2x2®[-],,,,,,,,,,,,,,
fluorescentLight_player,blocks,Block,,,[4DFF00]Hanging Fluorescent Light®[-],,,,,,,,,,,,,,
fluorescentLightBayIntact_player,blocks,Block,,,[4DFF00]Fluorescent Light Bay®[-],,,,,,,,,,,,,,
ceilingLight02_player,blocks,Block,,,[4DFF00]Silver Dome Light®[-],,,,,,,,,,,,,,
ceilingLight02_2x2_player,blocks,Block,,,[4DFF00]Silver Dome Light 2x2®[-],,,,,,,,,,,,,,
ceilingLight02Brass_player,blocks,Block,,,[4DFF00]Brass Dome Light®[-],,,,,,,,,,,,,,
ceilingLight02Brass_2x2_player,blocks,Block,,,[4DFF00]Brass Dome Light 2x2®[-],,,,,,,,,,,,,,
ceilingLight04_player,blocks,Block,,,[4DFF00]Pendant Shade®[-],,,,,,,,,,,,,,
ceilingLight04_PendantShadeBase_player,blocks,Block,,,[4DFF00]Pendant Shade Base®[-],,,,,,,,,,,,,,
ceilingLight04_PendantPoleBase,blocks,Block,,,[4DFF00]Pendant Pole Base®[-],,,,,,,,,,,,,,
ceilingLight04_PendantPole,blocks,Block,,,[4DFF00]Pendant Pole®[-],,,,,,,,,,,,,,
ceilingLight04_playerDesc,blocks,Block,,,Additional parts for the pendant style style lights. These do not light up.,,,,,,,,,,,,,,
ceilingLight05_player,blocks,Block,,,[4DFF00]Pendant Shade®[-],,,,,,,,,,,,,,
ceilingLight05Brass_player,blocks,Block,,,[4DFF00]Pendant Shade Brass®[-],,,,,,,,,,,,,,
trackLight_player,blocks,Block,,,[4DFF00]Track Lighting®[-],,,,,,,,,,,,,,
projectorTableTop_Player,blocks,Block,,,[4DFF00]Table Top Projector®[-],,,,,,,,,,,,,,
projectorCeiling_player,blocks,Block,,,[4DFF00]Ceiling Projector®[-],,,,,,,,,,,,,,
hoodRangeWhite_player,blocks,Block,,,[4DFF00]Range Hood White®[-],,,,,,,,,,,,,,
hoodRangeBrown_player,blocks,Block,,,[4DFF00]Range Hood Brown®[-],,,,,,,,,,,,,,
hoodRangeRed_player,blocks,Block,,,[4DFF00]Range Hood Red®[-],,,,,,,,,,,,,,
hoodRangeOrange_player,blocks,Block,,,[4DFF00]Range Hood Orange®[-],,,,,,,,,,,,,,
hoodRangeYellow_player,blocks,Block,,,[4DFF00]Range Hood Yellow®[-],,,,,,,,,,,,,,
hoodRangeGreen_player,blocks,Block,,,[4DFF00]Range Hood Green®[-],,,,,,,,,,,,,,
hoodRangeBlue_player,blocks,Block,,,[4DFF00]Range Hood Blue®[-],,,,,,,,,,,,,,
hoodRangePurple_player,blocks,Block,,,[4DFF00]Range Hood Purple®[-],,,,,,,,,,,,,,
hoodRangePink_player,blocks,Block,,,[4DFF00]Range Hood Pink®[-],,,,,,,,,,,,,,
hoodRangeGrey_player,blocks,Block,,,[4DFF00]Range Hood Grey®[-],,,,,,,,,,,,,,
hoodRangeBlack_player,blocks,Block,,,[4DFF00]Range Hood Black®[-],,,,,,,,,,,,,,
signOpenWallMountChain_player,blocks,Block,,,[4DFF00]Open Sign Chain Mount®[-],,,,,,,,,,,,,,
signOpenSideMount_player,blocks,Block,,,[4DFF00]Open Sign Side Mount®[-],,,,,,,,,,,,,,
signExitLight_player,blocks,Block,,,[4DFF00]Exit Light®[-],,,,,,,,,,,,,,
signNeonColdBeer_player,blocks,Block,,,[4DFF00] Neon Sign Cold Beer®[-],,,,,,,,,,,,,,
lightDisplayXRayFull_player,blocks,Block,,,[4DFF00]X-Ray with Radiograph®[-],,,,,,,,,,,,,,
lightDisplayXRayEmpty_player,blocks,Block,,,[4DFF00]X-Ray Empty®[-],,,,,,,,,,,,,,
ceilingFanLight_player,blocks,Block,,,[4DFF00]Ceiling Fan Light®[-],,,,,,,,,,,,,,
streetLight01_player,blocks,Block,,,[4DFF00]Street Light 1-Way®[-],,,,,,,,,,,,,,
streetLight02_player,blocks,Block,,,[4DFF00]Street Light 2-Way®[-],,,,,,,,,,,,,,
streetLight03_player,blocks,Block,,,[4DFF00]Street Light 3-Way®[-],,,,,,,,,,,,,,
streetLight04_player,blocks,Block,,,[4DFF00]Street Light 4-Way®[-],,,,,,,,,,,,,,
streetLightClassic_player,blocks,Block,,,[4DFF00]Classic Street Light®[-],,,,,,,,,,,,,,
roadBarricadeLight_player,blocks,Block,,,[4DFF00]Road Barricade®[-],,,,,,,,,,,,,,
workLightPOI_player,blocks,Block,,,[4DFF00]Work Light®[-],,,,,,,,,,,,,,
signTrafficLight_player,blocks,Block,,,[4DFF00]Traffic Light®[-],,,,,,,,,,,,,,
signCrosswalk_player,blocks,Block,,,[4DFF00]Crosswalk Light®[-],,,,,,,,,,,,,,
signPillsLogo_player,blocks,Block,,,[4DFF00]Large Neon Sign Pills®[-],,,,,,,,,,,,,,
signPillsLogoSmall_player,blocks,Block,,,[4DFF00]Small Neon Sign Pills®[-],,,,,,,,,,,,,,
endTableLamp_player,blocks,Block,,,[4DFF00]End Table Lamp®[-],,,,,,,,,,,,,,
